Department,OverTime,WorkLifeBalance,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,Attrition,Engagement_Index,Burnout_Risk_Score
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
Sales,No,3,3,4,4,3,0,3.5,0
HR,Yes,2,4,2,3,2,1,2.75,2
R&D,No,4,1,3,2,1,0,1.75,0
Sales,Yes,2,3,4,3,3,0,3.25,2
R&D,Yes,1,2,3,2,4,1,2.75,2
